Project_Slug,CWE
alibaba__nacos_CVE-2021-44667_2.0.3,CWE-079
alibaba__one-java-agent_CVE-2022-25842_0.0.1,CWE-022
apache__activemq_CVE-2014-3576_5.10.2,CWE-078
apache__activemq_CVE-2019-0222_5.15.8,CWE-094
apache__activemq_CVE-2020-11998_5.15.12,CWE-094
apache__camel_CVE-2018-8041_2.20.3,CWE-022
apache__camel_CVE-2019-0194_2.21.4,CWE-022
apache__dolphinscheduler_CVE-2022-26884_2.0.5,CWE-022
apache__dolphinscheduler_CVE-2022-34662_2.0.9,CWE-022
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CWE-094
apache__dolphinscheduler_CVE-2023-51770_3.2.0,CWE-094
apache__dubbo_CVE-2021-30180_2.7.9,CWE-094
apache__flink_CVE-2020-17519_1.11.2,CWE-022
apache__incubator-dubbo_CVE-2021-30181_2.6.8,CWE-094
apache__jspwiki_CVE-2019-0225_2.11.0.M2,CWE-022
apache__jspwiki_CVE-2019-10076_2.11.0.M3,CWE-079
apache__jspwiki_CVE-2019-10077_2.11.0.M3,CWE-079
apache__jspwiki_CVE-2019-10078_2.11.0.M3,CWE-079
apache__jspwiki_CVE-2019-10089_2.11.0.M4,CWE-079
apache__jspwiki_CVE-2022-46907_2.11.3,CWE-079
apache__mina-sshd_CVE-2023-35887_2.9.2,CWE-022
apache__myfaces_CVE-2011-4367_2.0.11,CWE-022
apache__nifi_CVE-2022-33140_1.16.2,CWE-078
apache__rocketmq_CVE-2019-17572_4.6.0,CWE-022
apache__rocketmq_CVE-2023-33246_5.1.0,CWE-094
apache__rocketmq_CVE-2023-37582_4.9.6,CWE-094
apache__shiro_CVE-2023-34478_1.11.0,CWE-022
apache__shiro_CVE-2023-46749_1.12.0,CWE-022
apache__sling-org-apache-sling-servlets-resolver_CVE-2024-23673_2.10.0,CWE-022
apache__sling-org-apache-sling-xss_CVE-2016-5394_1.0.8,CWE-079
apache__struts_CVE-2020-17530_2.5.25,CWE-094
apache__tika_CVE-2018-11762_1.18,CWE-022
apache__uima-uimaj_CVE-2022-32287_3.3.0,CWE-022
asf__commons-io_CVE-2021-29425_2.6,CWE-022
asf__commons-text_CVE-2022-42889_1.9,CWE-094
asf__cxf_CVE-2016-6812_3.0.11,CWE-079
asf__cxf_CVE-2019-17573_3.2.11,CWE-079
asf__james-project_CVE-2022-22931_3.6.0,CWE-022
asf__karaf_CVE-2022-22932_4.3.5,CWE-022
asf__nifi_CVE-2023-34468_1.21.0,CWE-094
asf__nifi_CVE-2023-36542_1.22.0,CWE-094
asf__tapestry-5_CVE-2019-0207_5.4.4,CWE-022
aws__aws-sdk-java_CVE-2022-31159_1.12.260,CWE-022
codecentric__spring-boot-admin_CVE-2022-46166_2.6.9,CWE-094
codehaus-plexus__plexus-archiver_CVE-2018-1002200_3.5,CWE-022
codehaus-plexus__plexus-archiver_CVE-2023-37460_4.7.1,CWE-022
codehaus-plexus__plexus-utils_CVE-2017-1000487_3.0.15,CWE-078
codehaus-plexus__plexus-utils_CVE-2022-4244_3.0.23,CWE-022
diffplug__goomph_CVE-2022-26049_3.37.1,CWE-022
dromara__hutool_CVE-2018-17297_4.1.11,CWE-022
DSpace__DSpace_CVE-2016-10726_4.4,CWE-022
DSpace__DSpace_CVE-2022-31192_5.10,CWE-079
DSpace__DSpace_CVE-2022-31194_5.10,CWE-022
DSpace__DSpace_CVE-2022-31195_5.10,CWE-022
eclipse__hawkbit_CVE-2020-27219_0.3.0M6,CWE-079
eclipse-ee4j__glassfish_CVE-2022-2712_6.2.5,CWE-022
ESAPI__esapi-java-legacy_CVE-2022-23457_2.2.3.1,CWE-022
ESAPI__esapi-java-legacy_CVE-2022-24891_2.2.3.1,CWE-079
fabric8io__kubernetes-client_CVE-2021-4178_5.0.2,CWE-094
ff4j__ff4j_CVE-2022-44262_1.8.13,CWE-094
Graylog2__graylog2-server_CVE-2023-41044_5.1.2,CWE-022
hapifhir__org.hl7.fhir.core_CVE-2023-24057_5.6.91,CWE-022
hapifhir__org.hl7.fhir.core_CVE-2023-28465_5.6.105,CWE-022
hibernate__hibernate-validator_CVE-2019-10219_6.0.17.Final,CWE-079
jenkinsci__docker-commons-plugin_CVE-2022-20617_1.17,CWE-078
jenkinsci__git-client-plugin_CVE-2019-10392_2.8.4,CWE-078
jenkinsci__perfecto-plugin_CVE-2020-2261_1.17,CWE-078
jenkinsci__script-security-plugin_CVE-2023-24422_1228.vd93135a_2fb_25,CWE-078
jenkinsci__workflow-cps-global-lib-plugin_CVE-2022-25174_544.vff04fa68714d,CWE-078
jenkinsci__workflow-cps-plugin_CVE-2022-25173_2646.v6ed3b5b01ff1,CWE-078
jenkinsci__workflow-multibranch-plugin_CVE-2022-25175_706.vd43c65dec013,CWE-078
jeremylong__DependencyCheck_CVE-2018-12036_3.1.2,CWE-022
jlangch__venice_CVE-2022-36007_1.10.16,CWE-022
jmrozanec__cron-utils_CVE-2021-41269_9.1.5,CWE-094
joniles__mpxj_CVE-2020-35460_8.3.4,CWE-022
jstachio__jstachio_CVE-2023-33962_1.0.0,CWE-079
keycloak__keycloak_CVE-2014-3656_1.0.5.Final,CWE-079
keycloak__keycloak_CVE-2022-1274_20.0.4,CWE-079
keycloak__keycloak_CVE-2022-3782_20.0.1,CWE-022
keycloak__keycloak_CVE-2022-4137_20.0.4,CWE-079
keycloak__keycloak_CVE-2022-4361_21.1.1,CWE-079
kubernetes-client__java_CVE-2020-8570_client-java-parent-9.0.1,CWE-022
nahsra__antisamy_CVE-2016-10006_1.5.3,CWE-079
nahsra__antisamy_CVE-2017-14735_1.5.6,CWE-079
nahsra__antisamy_CVE-2022-28367_1.6.5,CWE-079
nahsra__antisamy_CVE-2022-29577_1.6.6.1,CWE-079
OWASP__json-sanitizer_CVE-2020-13973_1.2.0,CWE-079
payara__Payara_CVE-2022-37422_5.2022.2,CWE-022
perwendel__spark_CVE-2016-9177_2.5.1,CWE-022
perwendel__spark_CVE-2018-9159_2.7.1,CWE-022
rhuss__jolokia_CVE-2018-1000129_1.4.0,CWE-079
spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE,CWE-022
spring-cloud__spring-cloud-config_CVE-2020-5410_2.1.8.RELEASE,CWE-022
spring-cloud__spring-cloud-gateway_CVE-2022-22947_3.0.6,CWE-094
spring-projects__spring-framework_CVE-2022-22965_5.2.19.RELEASE,CWE-094
spring-projects__spring-security_CVE-2011-2732_2.0.6.RELEASE,CWE-094
SpringSource__spring-security-oauth_CVE-2018-1260_2.3.2.RELEASE,CWE-094
square__retrofit_CVE-2018-1000850_2.4.0,CWE-022
srikanth-lingala__zip4j_CVE-2018-1002202_1.3.2,CWE-022
testng-team__testng_CVE-2022-4065_7.5,CWE-022
undertow-io__undertow_CVE-2014-7816_1.0.16.Final,CWE-022
vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1,CWE-022
vert-x3__vertx-web_CVE-2019-17640_3.9.3,CWE-022
whitesource__curekit_CVE-2022-23082_1.1.3,CWE-022
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,CWE-022
x-stream__xstream_CVE-2013-7285_1.4.6,CWE-078
x-stream__xstream_CVE-2020-26217_1.4.14-java7,CWE-078
x-stream__xstream_CVE-2021-21345_1.4.15,"CWE-078, CWE-094"
xerial__sqlite-jdbc_CVE-2023-32697_3.41.2.1,CWE-094
xuxueli__xxl-job_CVE-2020-29204_2.2.0,CWE-079
xwiki__xwiki-commons_CVE-2022-24897_12.6.6,CWE-022
xwiki__xwiki-commons_CVE-2023-29201_14.6,CWE-079
